Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.9970370000000001,0.998317,0.443676,0.997677,237,450,2809068885,2546949881.000000,0.000000,525466,.,.,296594.000000,194071.000000,,1.528275734138537,523909,.,.,295567.000000,193820.000000,,1.5249561448766897,1557,.,.,1027.000000,251.000000,,4.091633466135458,983795,.,.,630835.000000,320342.000000,,1.9692547340030342,546388,.,.,341547.000000,193865.000000,,1.7617775255977097,921,.,.,570.000000,330.000000,,1.7272727272727273,436486,.,.,288718.000000,126147.000000,,2.288742498830729
INDEL,*,*,PASS,*,QUAL,*,0.997025,0.998323,0.443067,0.997674,235,449,2809068885,2546949881.000000,0.000000,525466,.,.,296594.000000,194071.000000,,1.528275734138537,523903,.,.,295565.000000,193817.000000,,1.5249694299261676,1563,.,.,1029.000000,254.000000,,4.051181102362205,982701,.,.,630541.000000,319661.000000,,1.9725302742592934,546381,.,.,341543.000000,193862.000000,,1.7617841557396499,918,.,.,569.000000,328.000000,,1.7347560975609757,435402,.,.,288429.000000,125471.000000,,2.2987702337591953
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.9526959999999999,0.92427,0.882718,0.938268,3,16,3148273288.000000,2546949881.000000,0.000000,1057,.,.,596.000000,440.000000,,1.3545454545454545,1007,.,.,569.000000,428.000000,,1.3294392523364487,50,.,.,27.000000,12.000000,,2.25,9345,.,.,6076.000000,2916.000000,,2.083676268861454,1013,.,.,576.000000,428.000000,,1.3457943925233644,83,.,.,77.000000,6.000000,,12.833333333333334,8249,.,.,5423.000000,2482.000000,,2.184931506849315
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.9526959999999999,0.92427,0.882718,0.938268,3,16,3148273288.000000,2546949881.000000,0.000000,1057,.,.,596.000000,440.000000,,1.3545454545454545,1007,.,.,569.000000,428.000000,,1.3294392523364487,50,.,.,27.000000,12.000000,,2.25,9345,.,.,6076.000000,2916.000000,,2.083676268861454,1013,.,.,576.000000,428.000000,,1.3457943925233644,83,.,.,77.000000,6.000000,,12.833333333333334,8249,.,.,5423.000000,2482.000000,,2.184931506849315
INDEL,*,TS_contained,ALL,*,QUAL,*,0.9971260000000001,0.998466,0.0,0.9977959999999999,234,434,2546949881.000000,2546949881.000000,0.000000,524409,.,.,295998.000000,193631.000000,,1.5286705124695943,522902,.,.,294998.000000,193392.000000,,1.525388847522131,1507,.,.,1000.000000,239.000000,,4.184100418410042,546213,.,.,341464.000000,193761.000000,,1.7622947858444167,545375,.,.,340971.000000,193437.000000,,1.7626979326602459,838,.,.,493.000000,324.000000,,1.521604938271605,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.997115,0.9984709999999999,0.0,0.997793,232,433,2546949881.000000,2546949881.000000,0.000000,524409,.,.,295998.000000,193631.000000,,1.5286705124695943,522896,.,.,294996.000000,193389.000000,,1.525402168685913,1513,.,.,1002.000000,242.000000,,4.140495867768595,546203,.,.,341459.000000,193756.000000,,1.76231445735874,545368,.,.,340967.000000,193434.000000,,1.7627045917470558,835,.,.,492.000000,322.000000,,1.5279503105590062,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3148273288.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3148273288.000000,2546949881.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
